Transaction ID,Date,Product Category,Product Name,Units Sold,Unit Price,Region,Payment Method
10001,1/1/2024,Electronics,iPhone 14 Pro,2,1000,North America,Credit Card
10002,1/2/2024,Home Appliances,Dyson V11 Vacuum,1,500,Europe,PayPal
10003,1/3/2024,Clothing,Levi's 501 Jeans,3,70,Asia,Debit Card
10004,1/4/2024,Books,The Da Vinci Code,4,16,North America,Credit Card
10005,1/5/2024,Beauty Products,Neutrogena Skincare Set,1,90,Europe,PayPal
10006,1/6/2024,Sports,Wilson Evolution Basketball,5,30,Asia,Credit Card
10007,1/7/2024,Electronics,MacBook Pro 16-inch,1,2500,North America,Credit Card
10008,1/8/2024,Home Appliances,Blueair Classic 480i,2,600,Europe,PayPal
10009,1/9/2024,Clothing,Nike Air Force 1,6,90,Asia,Debit Card
10010,1/10/2024,Books,Dune by Frank Herbert,2,26,North America,Credit Card
10011,1/11/2024,Beauty Products,Chanel No. 5 Perfume,1,130,Europe,PayPal
10012,1/12/2024,Sports,Babolat Pure Drive Tennis Racket,3,200,Asia,Credit Card
10013,1/13/2024,Electronics,Samsung Galaxy Tab S8,2,750,North America,Credit Card
10014,1/14/2024,Home Appliances,Keurig K-Elite Coffee Maker,1,190,Europe,PayPal
10015,1/15/2024,Clothing,North Face Down Jacket,2,250,Asia,Debit Card
10016,1/16/2024,Books,"Salt, Fat, Acid, Heat by Samin Nosrat",3,36,North America,Credit Card
10017,1/17/2024,Beauty Products,Dyson Supersonic Hair Dryer,1,400,Europe,PayPal
10018,1/18/2024,Sports,Manduka PRO Yoga Mat,4,120,Asia,Credit Card
10019,1/19/2024,Electronics,Garmin Forerunner 945,2,500,North America,Credit Card
10020,1/20/2024,Home Appliances,Ninja Professional Blender,1,100,Europe,PayPal
10021,1/21/2024,Clothing,Zara Summer Dress,3,60,Asia,Debit Card
10022,1/22/2024,Books,Gone Girl by Gillian Flynn,2,23,North America,Credit Card
10023,1/23/2024,Beauty Products,Olay Regenerist Face Cream,1,50,Europe,PayPal
10024,1/24/2024,Sports,Adidas FIFA World Cup Football,3,30,Asia,Credit Card
10025,1/25/2024,Electronics,Bose QuietComfort 35 Headphones,1,300,North America,Credit Card
10026,1/26/2024,Home Appliances,Panasonic NN-SN966S Microwave,1,180,Europe,PayPal
10027,1/27/2024,Clothing,Adidas Ultraboost Shoes,2,180,Asia,Debit Card
10028,1/28/2024,Books,Pride and Prejudice by Jane Austen,3,13,North America,Credit Card
10029,1/29/2024,Beauty Products,MAC Ruby Woo Lipstick,1,30,Europe,PayPal
10030,1/30/2024,Sports,Nike Air Zoom Pegasus 37,2,130,Asia,Credit Card
10031,1/31/2024,Electronics,Sony WH-1000XM4 Headphones,2,350,North America,Credit Card
10032,2/1/2024,Home Appliances,Instant Pot Duo,3,90,Europe,PayPal
10033,2/2/2024,Clothing,Under Armour HeatGear T-Shirt,5,30,Asia,Debit Card
10034,2/3/2024,Books,1984 by George Orwell,4,20,North America,Credit Card
10035,2/4/2024,Beauty Products,L'Oreal Revitalift Serum,2,40,Europe,PayPal
10036,2/5/2024,Sports,Peloton Bike,1,1895,Asia,Credit Card
10037,2/6/2024,Electronics,Apple Watch Series 8,3,400,North America,Credit Card
10038,2/7/2024,Home Appliances,Roomba i7+,2,800,Europe,PayPal
10039,2/8/2024,Clothing,Columbia Fleece Jacket,4,60,Asia,Debit Card
10040,2/9/2024,Books,Harry Potter and the Sorcerer's Stone,3,25,North America,Credit Card
10041,2/10/2024,Beauty Products,Estee Lauder Advanced Night Repair,1,105,Europe,PayPal
10042,2/11/2024,Sports,Fitbit Charge 5,2,130,Asia,Credit Card
10043,2/12/2024,Electronics,GoPro HERO10 Black,3,400,North America,Credit Card
10044,2/13/2024,Home Appliances,Nespresso VertuoPlus,1,200,Europe,PayPal
10045,2/14/2024,Clothing,Patagonia Better Sweater,2,140,Asia,Debit Card
10046,2/15/2024,Books,Becoming by Michelle Obama,4,33,North America,Credit Card
10047,2/16/2024,Beauty Products,Clinique Moisture Surge,1,52,Europe,PayPal
10048,2/17/2024,Sports,Yeti Rambler Tumbler,6,40,Asia,Credit Card
10049,2/18/2024,Electronics,Kindle Paperwhite,2,130,North America,Credit Card
10050,2/19/2024,Home Appliances,Breville Smart Oven,1,300,Europe,PayPal
10051,2/20/2024,Clothing,Ray-Ban Aviator Sunglasses,3,155,Asia,Debit Card
10052,2/21/2024,Books,The Silent Patient by Alex Michaelides,2,27,North America,Credit Card
10053,2/22/2024,Beauty Products,Shiseido Ultimate Sun Protector,1,49,Europe,PayPal
10054,2/23/2024,Sports,Titleist Pro V1 Golf Balls,5,50,Asia,Credit Card
10055,2/24/2024,Electronics,Anker PowerCore Portable Charger,4,60,North America,Credit Card
10056,2/25/2024,Home Appliances,KitchenAid Artisan Stand Mixer,1,500,Europe,PayPal
10057,2/26/2024,Clothing,Calvin Klein Boxer Briefs,5,30,Asia,Debit Card
10058,2/27/2024,Books,Educated by Tara Westover,3,28,North America,Credit Card
10059,2/28/2024,Beauty Products,Anastasia Beverly Hills Brow Wiz,2,23,Europe,PayPal
10060,2/29/2024,Sports,Hyperice Hypervolt Massager,1,349,Asia,Credit Card
10061,3/1/2024,Electronics,Nintendo Switch,3,300,North America,Credit Card
10062,3/2/2024,Home Appliances,Philips Airfryer XXL,2,200,Europe,PayPal
10063,3/3/2024,Clothing,Hanes ComfortSoft T-Shirt,10,10,Asia,Debit Card
10064,3/4/2024,Books,Where the Crawdads Sing by Delia Owens,4,19,North America,Credit Card
10065,3/5/2024,Beauty Products,Lancome La Vie Est Belle,1,102,Europe,PayPal
10066,3/6/2024,Sports,Garmin Edge 530,2,300,Asia,Credit Card
10067,3/7/2024,Electronics,Samsung QLED 4K TV,1,1200,North America,Credit Card
10068,3/8/2024,Home Appliances,Eufy RoboVac 11S,3,220,Europe,PayPal
10069,3/9/2024,Clothing,Puma Suede Classic Sneakers,4,60,Asia,Debit Card
10070,3/10/2024,Books,The Great Gatsby by F. Scott Fitzgerald,2,11,North America,Credit Card
10071,3/11/2024,Beauty Products,Drunk Elephant C-Firma Day Serum,1,78,Europe,PayPal
10072,3/12/2024,Sports,Nike Metcon 6,3,130,Asia,Credit Card
10073,3/13/2024,Electronics,HP Spectre x360 Laptop,1,1600,North America,Credit Card
10074,3/14/2024,Home Appliances,De'Longhi Magnifica Espresso Machine,1,900,Europe,PayPal
10075,3/15/2024,Clothing,Tommy Hilfiger Polo Shirt,5,50,Asia,Debit Card
10076,3/16/2024,Books,To Kill a Mockingbird by Harper Lee,4,15,North America,Credit Card
10077,3/17/2024,Beauty Products,Glossier Boy Brow,2,16,Europe,PayPal
10078,3/18/2024,Sports,Rogue Fitness Kettlebell,3,70,Asia,Credit Card
10079,3/19/2024,Electronics,Apple AirPods Pro,2,250,North America,Credit Card
10080,3/20/2024,Home Appliances,Dyson Pure Cool Link,1,500,Europe,PayPal
10081,3/21/2024,Clothing,Levi's Trucker Jacket,2,90,Asia,Debit Card
10082,3/22/2024,Books,The Hobbit by J.R.R. Tolkien,3,13,North America,Credit Card
10083,3/23/2024,Beauty Products,Charlotte Tilbury Magic Cream,1,100,Europe,PayPal
10084,3/24/2024,Sports,Spalding NBA Street Basketball,6,25,Asia,Credit Card
10085,3/25/2024,Electronics,Ring Video Doorbell,1,100,North America,Credit Card
10086,3/26/2024,Home Appliances,LG OLED TV,2,1300,Europe,PayPal
10087,3/27/2024,Clothing,Uniqlo Ultra Light Down Jacket,3,80,Asia,Debit Card
10088,3/28/2024,Books,The Catcher in the Rye by J.D. Salinger,4,14,North America,Credit Card
10089,3/29/2024,Beauty Products,Sunday Riley Good Genes,1,105,Europe,PayPal
10090,3/30/2024,Sports,On Running Cloud Shoes,2,130,Asia,Credit Card
10091,3/31/2024,Electronics,Logitech MX Master 3 Mouse,2,100,North America,Credit Card
10092,4/1/2024,Home Appliances,Instant Pot Duo Crisp,1,180,Europe,PayPal
10093,4/2/2024,Clothing,Adidas Originals Superstar Sneakers,4,80,Asia,Debit Card
10094,4/3/2024,Books,The Alchemist by Paulo Coelho,3,15,North America,Credit Card
10095,4/4/2024,Beauty Products,Tatcha The Water Cream,1,68,Europe,PayPal
10096,4/5/2024,Sports,Garmin Fenix 6X Pro,1,1000,Asia,Credit Card
10097,4/6/2024,Electronics,Bose SoundLink Revolve+ Speaker,3,300,North America,Credit Card
10098,4/7/2024,Home Appliances,Vitamix Explorian Blender,1,350,Europe,PayPal
10099,4/8/2024,Clothing,Gap Essential Crewneck T-Shirt,6,20,Asia,Debit Card
10100,4/9/2024,Books,The Power of Now by Eckhart Tolle,2,13,North America,Credit Card
10101,4/10/2024,Beauty Products,Kiehl's Midnight Recovery Concentrate,1,82,Europe,PayPal
10102,4/11/2024,Sports,Under Armour HOVR Sonic 4 Shoes,2,110,Asia,Credit Card
10103,4/12/2024,Electronics,Canon EOS R5 Camera,1,3900,North America,Credit Card
10104,4/13/2024,Home Appliances,Shark IQ Robot Vacuum,2,350,Europe,PayPal
10105,4/14/2024,Clothing,H&M Slim Fit Jeans,3,40,Asia,Debit Card
10106,4/15/2024,Books,The Girl on the Train by Paula Hawkins,4,11,North America,Credit Card
10107,4/16/2024,Beauty Products,The Ordinary Niacinamide Serum,1,7,Europe,PayPal
10108,4/17/2024,Sports,Bowflex SelectTech 552 Dumbbells,1,400,Asia,Credit Card
10109,4/18/2024,Electronics,Google Nest Hub Max,2,230,North America,Credit Card
10110,4/19/2024,Home Appliances,Cuisinart Griddler Deluxe,1,160,Europe,PayPal
10111,4/20/2024,Clothing,Old Navy Relaxed-Fit T-Shirt,4,15,Asia,Debit Card
10112,4/21/2024,Books,Sapiens: A Brief History of Humankind by Yuval Noah Harari,2,19,North America,Credit Card
10113,4/22/2024,Beauty Products,Biore UV Aqua Rich Watery Essence Sunscreen,1,15,Europe,PayPal
10114,4/23/2024,Sports,Fitbit Versa 3,3,230,Asia,Credit Card
10115,4/24/2024,Electronics,Amazon Echo Show 10,1,250,North America,Credit Card
10116,4/25/2024,Home Appliances,Breville Smart Grill,2,300,Europe,PayPal
10117,4/26/2024,Clothing,Gap High Rise Skinny Jeans,3,50,Asia,Debit Card
10118,4/27/2024,Books,Atomic Habits by James Clear,4,17,North America,Credit Card
10119,4/28/2024,Beauty Products,CeraVe Hydrating Facial Cleanser,2,15,Europe,PayPal
10120,4/29/2024,Sports,YETI Hopper Flip Portable Cooler,1,250,Asia,Credit Card
10121,4/30/2024,Electronics,Apple iPad Air,2,600,North America,Credit Card
10122,5/1/2024,Home Appliances,Hamilton Beach FlexBrew Coffee Maker,1,90,Europe,PayPal
10123,5/2/2024,Clothing,Forever 21 Graphic Tee,5,13,Asia,Debit Card
10124,5/3/2024,Books,The Subtle Art of Not Giving a F*ck by Mark Manson,3,15,North America,Credit Card
10125,5/4/2024,Beauty Products,NARS Radiant Creamy Concealer,1,30,Europe,PayPal
10126,5/5/2024,Sports,Yeti Roadie 24 Cooler,1,200,Asia,Credit Card
10127,5/6/2024,Electronics,Sony PlayStation 5,1,500,North America,Credit Card
10128,5/7/2024,Home Appliances,Dyson Supersonic Hair Dryer,2,400,Europe,PayPal
10129,5/8/2024,Clothing,Lululemon Align Leggings,3,98,Asia,Debit Card
10130,5/9/2024,Books,The Four Agreements by Don Miguel Ruiz,2,9,North America,Credit Card
10131,5/10/2024,Beauty Products,Fenty Beauty Killawatt Highlighter,1,36,Europe,PayPal
10132,5/11/2024,Sports,Hydro Flask Wide Mouth Water Bottle,4,40,Asia,Credit Card
10133,5/12/2024,Electronics,Microsoft Surface Laptop 4,1,1300,North America,Credit Card
10134,5/13/2024,Home Appliances,Keurig K-Mini Coffee Maker,2,80,Europe,PayPal
10135,5/14/2024,Clothing,Gap Crewneck Sweatshirt,4,35,Asia,Debit Card
10136,5/15/2024,Books,Think and Grow Rich by Napoleon Hill,3,10,North America,Credit Card
10137,5/16/2024,Beauty Products,The Ordinary Hyaluronic Acid Serum,1,7,Europe,PayPal
10138,5/17/2024,Sports,Fitbit Inspire 2,2,100,Asia,Credit Card
10139,5/18/2024,Electronics,Samsung Odyssey G9 Gaming Monitor,1,1500,North America,Credit Card
10140,5/19/2024,Home Appliances,Instant Pot Ultra,1,140,Europe,PayPal
10141,5/20/2024,Clothing,Adidas Essential Track Pants,3,45,Asia,Debit Card
10142,5/21/2024,Books,The Power of Habit by Charles Duhigg,2,12,North America,Credit Card
10143,5/22/2024,Beauty Products,Clinique Dramatically Different Moisturizing Lotion,1,30,Europe,PayPal
10144,5/23/2024,Sports,YETI Tundra 45 Cooler,1,300,Asia,Credit Card
10145,5/24/2024,Electronics,Apple AirPods Max,1,549,North America,Credit Card
10146,5/25/2024,Home Appliances,Cuisinart Coffee Center,2,200,Europe,PayPal
10147,5/26/2024,Clothing,Levi's Sherpa Trucker Jacket,2,98,Asia,Debit Card
10148,5/27/2024,Books,The Outsiders by S.E. Hinton,3,11,North America,Credit Card
10149,5/28/2024,Beauty Products,Laneige Water Sleeping Mask,1,25,Europe,PayPal
10150,5/29/2024,Sports,Bose SoundSport Wireless Earbuds,2,150,Asia,Credit Card
10151,5/30/2024,Electronics,Sony WH-1000XM4 Headphones,1,350,North America,Credit Card
10152,5/31/2024,Home Appliances,Ninja Foodi Pressure Cooker,2,200,Europe,PayPal
10153,6/1/2024,Clothing,Nike Sportswear Club Fleece Hoodie,3,55,Asia,Debit Card
10154,6/2/2024,Books,The Night Circus by Erin Morgenstern,2,17,North America,Credit Card
10155,6/3/2024,Beauty Products,GlamGlow Supermud Clearing Treatment,1,59,Europe,PayPal
10156,6/4/2024,Sports,Garmin Forerunner 245,1,300,Asia,Credit Card
10157,6/5/2024,Electronics,Google Pixel 6 Pro,1,900,North America,Credit Card
10158,6/6/2024,Home Appliances,Breville Nespresso Creatista Plus,1,500,Europe,PayPal
10159,6/7/2024,Clothing,Under Armour Tech 2.0 T-Shirt,4,25,Asia,Debit Card
10160,6/8/2024,Books,The Art of War by Sun Tzu,3,8,North America,Credit Card
10161,6/9/2024,Beauty Products,Youth to the People Superfood Antioxidant Cleanser,1,36,Europe,PayPal
10162,6/10/2024,Sports,TriggerPoint GRID Foam Roller,2,35,Asia,Credit Card
10163,6/11/2024,Electronics,Apple MacBook Air,1,1200,North America,Credit Card
10164,6/12/2024,Home Appliances,Cuisinart Custom 14-Cup Food Processor,1,200,Europe,PayPal
10165,6/13/2024,Clothing,Adidas 3-Stripes Shorts,5,30,Asia,Debit Card
10166,6/14/2024,Books,The Hunger Games by Suzanne Collins,4,9,North America,Credit Card
10167,6/15/2024,Beauty Products,Neutrogena Hydro Boost Water Gel,1,17,Europe,PayPal
10168,6/16/2024,Sports,Yeti Rambler Bottle,3,50,Asia,Credit Card
10169,6/17/2024,Electronics,Samsung Odyssey G7 Gaming Monitor,1,700,North America,Credit Card
10170,6/18/2024,Home Appliances,Instant Pot Duo Evo Plus,2,140,Europe,PayPal
10171,6/19/2024,Clothing,Nike Tempo Running Shorts,3,35,Asia,Debit Card
10172,6/20/2024,Books,The Girl with the Dragon Tattoo by Stieg Larsson,2,10,North America,Credit Card
10173,6/21/2024,Beauty Products,Paula's Choice Skin Perfecting 2% BHA Liquid Exfoliant,1,30,Europe,PayPal
10174,6/22/2024,Sports,Bowflex SelectTech 1090 Adjustable Dumbbells,1,700,Asia,Credit Card
10175,6/23/2024,Electronics,Amazon Fire TV Stick 4K,3,50,North America,Credit Card
10176,6/24/2024,Home Appliances,Crock-Pot 6-Quart Slow Cooker,2,50,Europe,PayPal
10177,6/25/2024,Clothing,Uniqlo Airism Mesh Boxer Briefs,4,15,Asia,Debit Card
10178,6/26/2024,Books,The Sun Also Rises by Ernest Hemingway,3,12,North America,Credit Card
10179,6/27/2024,Beauty Products,First Aid Beauty Ultra Repair Cream,2,34,Europe,PayPal
10180,6/28/2024,Sports,Oakley Holbrook Sunglasses,1,146,Asia,Credit Card
10181,6/29/2024,Electronics,Google Pixelbook Go,1,650,North America,Credit Card
10182,6/30/2024,Home Appliances,Dyson V8 Absolute,1,400,Europe,PayPal
10183,7/1/2024,Clothing,Levi's 511 Slim Fit Jeans,3,60,Asia,Debit Card
10184,7/2/2024,Books,The Martian by Andy Weir,2,13,North America,Credit Card
10185,7/3/2024,Beauty Products,La Mer Crème de la Mer Moisturizer,1,190,Europe,PayPal
10186,7/4/2024,Sports,Polar Vantage V2,1,500,Asia,Credit Card
10187,7/5/2024,Electronics,Sonos Beam Soundbar,1,399,North America,Credit Card
10188,7/6/2024,Home Appliances,Anova Precision Cooker,2,199,Europe,PayPal
10189,7/7/2024,Clothing,Nike Dri-FIT Training Shorts,4,35,Asia,Debit Card
10190,7/8/2024,Books,The Catcher in the Rye by J.D. Salinger,3,11,North America,Credit Card
10191,7/9/2024,Beauty Products,Glossier Cloud Paint,1,18,Europe,PayPal
10192,7/10/2024,Sports,TRX All-in-One Suspension Training System,1,170,Asia,Credit Card
10193,7/11/2024,Electronics,Logitech G Pro X Wireless Gaming Headset,1,200,North America,Credit Card
10194,7/12/2024,Home Appliances,Breville Smart Coffee Grinder Pro,1,200,Europe,PayPal
10195,7/13/2024,Clothing,Adidas Ultraboost Running Shoes,2,180,Asia,Debit Card
10196,7/14/2024,Books,The Road by Cormac McCarthy,2,12,North America,Credit Card
10197,7/15/2024,Beauty Products,Tom Ford Black Orchid Perfume,1,125,Europe,PayPal
10198,7/16/2024,Sports,GoPro HERO9 Black,1,450,Asia,Credit Card
10199,7/17/2024,Electronics,Apple TV 4K,2,179,North America,Credit Card
10200,7/18/2024,Home Appliances,Instant Pot Duo Nova,1,100,Europe,PayPal
10201,7/19/2024,Clothing,Gap 1969 Original Fit Jeans,3,60,Asia,Debit Card
10202,7/20/2024,Books,The Goldfinch by Donna Tartt,2,15,North America,Credit Card
10203,7/21/2024,Beauty Products,Dr. Jart+ Cicapair Tiger Grass Color Correcting Treatment,1,52,Europe,PayPal
10204,7/22/2024,Sports,Yeti Tundra Haul Portable Wheeled Cooler,1,400,Asia,Credit Card
10205,7/23/2024,Electronics,Samsung Galaxy Watch 4,1,300,North America,Credit Card
10206,7/24/2024,Home Appliances,KitchenAid Stand Mixer,1,380,Europe,PayPal
10207,7/25/2024,Clothing,Lululemon Wunder Under High-Rise Leggings,2,98,Asia,Debit Card
10208,7/26/2024,Books,The Great Alone by Kristin Hannah,3,17,North America,Credit Card
10209,7/27/2024,Beauty Products,Caudalie Vinoperfect Radiance Serum,1,79,Europe,PayPal
10210,7/28/2024,Sports,Bose SoundLink Color Bluetooth Speaker II,1,129,Asia,Credit Card
10211,7/29/2024,Electronics,Canon EOS Rebel T7i DSLR Camera,1,750,North America,Credit Card
10212,7/30/2024,Home Appliances,Keurig K-Elite Coffee Maker,2,170,Europe,PayPal
10213,7/31/2024,Clothing,Uniqlo Airism Seamless Boxer Briefs,4,10,Asia,Debit Card
10214,8/1/2024,Books,The Girl with the Dragon Tattoo by Stieg Larsson,3,11,North America,Credit Card
10215,8/2/2024,Beauty Products,L'Occitane Shea Butter Hand Cream,2,29,Europe,PayPal
10216,8/3/2024,Sports,YETI Tundra 65 Cooler,1,350,Asia,Credit Card
10217,8/4/2024,Electronics,Apple MacBook Pro 16-inch,1,2399,North America,Credit Card
10218,8/5/2024,Home Appliances,iRobot Braava Jet M6,1,450,Europe,PayPal
10219,8/6/2024,Clothing,Champion Reverse Weave Hoodie,3,50,Asia,Debit Card
10220,8/7/2024,Books,The Nightingale by Kristin Hannah,2,13,North America,Credit Card
10221,8/8/2024,Beauty Products,Tarte Shape Tape Concealer,1,27,Europe,PayPal
10222,8/9/2024,Sports,Garmin Forerunner 945,1,600,Asia,Credit Card
10223,8/10/2024,Electronics,Amazon Echo Dot (4th Gen),4,50,North America,Credit Card
10224,8/11/2024,Home Appliances,Philips Sonicare DiamondClean Toothbrush,2,230,Europe,PayPal
10225,8/12/2024,Clothing,Old Navy Mid-Rise Rockstar Super Skinny Jeans,2,45,Asia,Debit Card
10226,8/13/2024,Books,The Silent Patient by Alex Michaelides,3,27,North America,Credit Card
10227,8/14/2024,Beauty Products,The Ordinary Caffeine Solution 5% + EGCG,1,7,Europe,PayPal
10228,8/15/2024,Sports,Fitbit Luxe,2,150,Asia,Credit Card
10229,8/16/2024,Electronics,Google Nest Wifi Router,1,169,North America,Credit Card
10230,8/17/2024,Home Appliances,Anova Precision Oven,1,599,Europe,PayPal
10231,8/18/2024,Clothing,Adidas Originals Trefoil Hoodie,4,65,Asia,Debit Card
10232,8/19/2024,Books,Dune by Frank Herbert,2,10,North America,Credit Card
10233,8/20/2024,Beauty Products,Fresh Sugar Lip Treatment,1,24,Europe,PayPal
10234,8/21/2024,Sports,Hydro Flask Standard Mouth Water Bottle,3,33,Asia,Credit Card
10235,8/22/2024,Electronics,Bose QuietComfort 35 II Wireless Headphones,1,299,North America,Credit Card
10236,8/23/2024,Home Appliances,Nespresso Vertuo Next Coffee and Espresso Maker,1,160,Europe,PayPal
10237,8/24/2024,Clothing,Nike Air Force 1 Sneakers,3,90,Asia,Debit Card
10238,8/25/2024,Books,The Handmaid's Tale by Margaret Atwood,3,11,North America,Credit Card
10239,8/26/2024,Beauty Products,Sunday Riley Luna Sleeping Night Oil,1,55,Europe,PayPal
10240,8/27/2024,Sports,Yeti Rambler 20 oz Tumbler,2,30,Asia,Credit Card
